Sample name,CellCount,Cycles
511_B5_Set7_C1_R1,3387,2
512_B5_Set7_C1_R2,6494,2
513_B5_Set7_C3_R1,60613,2
514_B5_Set7_C3_R2,60628,2
515_B5_Set7_C4_R1,60818,2
516_B5_Set7_C4_R2,60597,2
517_B5_EMT_R1,35054,2
518_B5_EMT_R2,31750,2
475_B4_EMT_R1,5264,2
476_B4_p300_C20_R1,2673,2
477_B4_p300_C19_R1,7163,2
478_B4_p300_C19_R2,10719,2
479_B4_p300_C19_R3,7025,2
480_B4_p300_C12_R1,5712,2
481_B4_p300_C12_R2,7029,2
482_B4_p300_C12_R3,7601,2
483_B4_p300_C20_R2,2859,2
489_B3_Set7_R1,26088,2
490_B3_Set7_R2,18129,2
491_B3_Set7_R3,10261,2
492_B3_Set7LL_R1,26681,2
493_B3_Set7LL_R2,27117,2
494_B3_Set7LL_R3,26497,2
495_B3_EMT_R1,27095,2
496_B3_EMT_R2,26709,2
497_B3_VP64_R1,26769,2
498_B3_VP64_R2,27368,2
499-B6-EMT_R1,,2
565_3_B8_EMT_R1,24489,3
566_3_B8_EMT_R2,25157,3
567_3_B8_p300_C12_R1,10000,3
568_3_B8_p300_C12_R2,27128,3
569_3_B8_p300_C12_R3,28698,3
570_3_B8_p300_C19_R1,32249,3
571_3_B8_p300_C19_R2,36933,3
572_3_B8_p300_C19_R3,33259,3
573_3_B8_p300_C20_R1,39101,3
574_3_B8_p300_C20_R2,47876,3
575_3_B8_p300_C20_R3,50141,3
565_2-B8-EMT-R1,24489,3
566_2-B8-EMT-R2,25157,3
567_2-B8-p300-C12-R1,10000,3
568_2-B8-p300-C12-R2,27128,3
569_2-B8-p300-C12-R3,28698,3
570_2-B8-p300-C19-R1,32249,3
571_2-B8-p300-C19-R2,36933,3
572_2-B8-p300-C19-R3,33259,3
573_2-B8-p300-C20-R1,39101,3
574_2-B8-p300-C20-R2,47876,3
575_2-B8-p300-C20-R3,50141,3
1_Set7_C4_R1,30000,3
2_AV2,15000,3
3_Set7_C4_R2,30000,3
4_AV2,15000,3
5_AV1,15000,3
6_AV1,15000,3
7_Set7_C3_R1,12000,3
8_Set7_C3_R2,12000,3
9_Set7LL_C22_R1,13000,3
10_Set7LL_C22_R2,7000,3
11_Set7LL_C1_R2,8000,3
12_Set7LL_C1_R1,17000,3
13_p300_C20_R1,25000,3
14_p300_C20_R2,22000,3
15_P300_C12_R1,7000,3
16_p300_C12_R2,8000,3
C_AV1,10000,3
D_AV2,10000,3
E_PV1,12000,3
F_PV2,15000,3
H_SV1,13000,3
I_SV2,15000,3
J_SVL2,8000,3
K_SVL1,10000,3
